SMILES,type,EO,PO,CMC,AW_ST_CMC,Gamma_max,Area_min,Pi_CMC,pC20,source
CCCCOCC(O)C(O)C(O)CO,nonionic,0,0,0.05800000005836966,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=4.76342799 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCC(=O)OCC(O)C(O)C(O)CO,nonionic,0,0,0.0017999999995718331,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.25527251 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCC(=O)OCC(O)C(O)C(O)CO,nonionic,0,0,0.01,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=4 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCOCC(O)C(O)C(O)CO,nonionic,0,0,0.009199999992679831,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.96378783 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCC(=O)OCC(O)C(O)C(O)CO,nonionic,0,0,0.05800000005836966,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=4.76342799 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCOCC(O)C(O)C(O)CO,nonionic,0,0,0.00940000000866424,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.97312785 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCC(=O)OCC(O)C(O)C(O)CO,nonionic,0,0,0.004399999995074252,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.64345268 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCOCC(O)C(O)C(O)CO,nonionic,0,0,0.0021000000012866143,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.3222193 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCC(=O)OCC(O)C(O)C(O)CO,nonionic,0,0,0.017999999995718313,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=4.2552725 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCOCC(O)C(O)C(O)CO,nonionic,0,0,0.006700000004615447,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.8260748 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCC(=O)OCC(O)C(O)C(O)CO,nonionic,0,0,0.1199999999868408,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=5.07918125 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCOCC(O)C(O)C(O)CO,nonionic,0,0,0.0380000000335284,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=4.5797836 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCSCC(O)C(O)C(O)CO,nonionic,0,0,0.1799999999571831,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=5.2552725 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCSCC(O)C(O)C(O)CO,nonionic,0,0,0.046000000033727284,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=4.66275783 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCC(CCCC)OC1OC(CO)C(O)C(O)C1O,nonionic,0,0,0.014999999998076826,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=4.17609126 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCC(CC)OC1OC(CO)C(O)C(O)C1O,nonionic,0,0,0.008500000005591852,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.92941893 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCC(C)OC1OC(CO)C(O)C(O)C1O,nonionic,0,0,0.004500000002327804,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.65321251 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCC(CCC)OC1OC(CO)C(O)C(O)C1O,nonionic,0,0,0.01199999999868408,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=4.07918125 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCC(=O)OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,nonionic,0,0,0.00033000000009278765,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.51851394 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCC(CCCCCC)SCCC(=O)OCC1(O)C(O)C(O)C(O)C1O,nonionic,0,0,6.299999993420215e-06,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=0.799340549 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCC(=O)N(C)CC(O)C(O)C(O)C(O)CO,nonionic,0,0,0.006700000004615447,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.8260748 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCC(=O)N(C)CC(O)C(O)C(O)C(O)CO,nonionic,0,0,0.021000000012866143,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=4.3222193 converted to mol/L; https://github.com/sandialabs/P2SURF
