名称,smiles,EO,PO,亲油亲水值HLB,CMC（临界胶束浓度）,表面张力（γcmc）,界面张力（IFT）,润湿性接触角θ,最小分子截面积Amin,最大表面过剩浓度Γmax,表面张力降低效率参数Pc20,文献或来源（如果可以）,source_temperature
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.03,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=25; additives=2.5 E1H DIOXANE; authors=SHIR MATU; reference=65020; original CMC=3.0 X10-2 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets,25
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.005896,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=25; additives=2.22 1 Q 3.5(CH3)2 C6H3 GLET*; authors=SCHI FOWK; reference=57014; original CMC=1.70 X10-1 D 5.896X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets,25
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.00485,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=25; additives=2.22 3.5(CH3)2 C6H3 GLET*; authors=SCHI FOWK; reference=57014; original CMC=1.4 X10-1 D 4.85 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets,25
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.00805,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=25; additives=1.00 E 2 A DEUTERIUM OXIDE; authors=MUKE KAPA; reference=66002; original CMC=8.05 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets,25
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.00596,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=25; additives=9.27 E 0 P ETHANOL; authors=FLOC; reference=57013; original CMC=5.96 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets,25
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.01067,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=25; additives=2.498E 1 P ETHANOL; authors=FLOC; reference=57013; original CMC=1.067X10-2 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets,25
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.00228,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=25; additives=2.22 E Q LAURYL ALCOHOL; authors=SCHI FOWK; reference=57014; original CMC=6.6 X10-2 D 2.28 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets,25
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.003815,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=25; additives=2. E-2 M NA CL; authors=WILL MYSE; reference=55005; original CMC=1.10 X10-1 D 3.815X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets,25
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.003642,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=25; additives=2. E-2 M NA CL; authors=WILL MYSE; reference=55005; original CMC=1.05 X10-1 D 3.642X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets,25
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.003121,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=25; additives=3. E-2 M NA CL; authors=WILL MYSE; reference=55005; original CMC=9.00 X10-2 D 3.121X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets,25
