SMILES,type,EO,PO,CMC,AW_ST_CMC,Gamma_max,Area_min,Pi_CMC,pC20,source
CCCCCC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,nonionic,10,0,0.0003560865057766022,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.55155552 converted to mol/L; https://github.com/sandialabs/P2SURF
O=S(=O)([O-])c1ccc(OCCCCCCOc2ccc(S(=O)(=O)[O-])cc2)cc1,anionic,1,0,0.004373875420235297,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.64086641 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCC1COCCC1OS(=O)(=O)[O-],anionic,1,0,0.02958862004546894,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=4.47112471 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCC1COCCC1OS(=O)(=O)[O-],anionic,1,0,0.0058259620858144585,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.76536765 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCCC1COCCC1OS(=O)(=O)[O-],anionic,1,0,0.0015054341965982673,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.17766178 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCCCCC1COCCC1OS(=O)(=O)[O-],anionic,1,0,0.00035107948611833934,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.54540545 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCC(C)OCCOCCO,nonionic,2,0,3.386454906624882e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.5297453 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCC(C)OCCOCCOCCOCCOCCO,nonionic,5,0,6.62290018864915e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.82104821 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCC(C)OCCOCCOCCO,nonionic,3,0,5.023969683005379e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.70104701 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCC(C)OCCOCCOCCOCCOCCOCCOCCO,nonionic,7,0,8.61686627124507e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.93534935 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCC(C)OCCOCCOCCOCCO,nonionic,4,0,6.251697561754043e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.79599796 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCC(C)OCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,8,0,0.00011176362590856942,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.04830048 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCOCCS(=O)(=O)[O-],anionic,1,0,0.01605543423564691,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=4.20562206 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCOCCOS(=O)(=O)[O-],anionic,1,0,0.003933833260837641,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.59481595 converted to mol/L; https://github.com/sandialabs/P2SURF
