Compound No.,Mol. Wgt.,Name,Additives,Temperature,CMC,Qual. Mat. Meth.,Method,Authors,Reference,Source,Evaluation,CMC Value 1,CMC Units 1,CMC Value 2,CMC Units 2,CMC Value 3,CMC Units 3
204,701,DECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,9.17 E 0 Q DECANOL-1,10,1.45 X10-1 D 2.068X10-3 M,ED,TURBIDITY PLT LITE SCATR,KURI,62009,T M,L,0.145,D,0.002068,M,,
204,701,DECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,9.17 0 DECANOL-1,29.9,8.8 X10-2 D 1.25 X10-3 M,ED,TURBIDITY PLT LITE SCATR,KURI,62009,T M,L,0.088,D,0.00125,M,,
204,701,DECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,1.87 0 Q DECANOL-1,30,1.05 X10-1 D 1.497X10-3 M,ED,TURBIDITY PLT LITE SCATR,KURI,62009,T M,L,0.105,D,0.001497,M,,
204,701,DECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,4.56 E Q DECANOL-1,30,9.9 X10-2 D 1.41 X10-3 M,ED,TURBIDITY PLT LITE SCATR,KURI,62009,T M,L,0.099,D,0.00141,M,,
204,701,DECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,7.75 E Q DECANOL-1,30,9.2 X10-2 D 1.31 X10-3 M,ED,TURBIDITY PLT LITE SCATR,KURI,62009,T M,L,0.092,D,0.00131,M,,
204,701,DECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,9.17 DECANOL-1,30,8.8 X10-2 D 1.25 X10-3 M,ED,TURBIDITY PLT LITE SCATR,KURI,62009,T M,L,0.088,D,0.00125,M,,
204,701,DECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,1.11 DECANOL-1,30,8.5 X10-2 D 1.21 X10-3 M,ED,TURBIDITY PLT LITE SCATR,KURI,62009,T M,L,0.085,D,0.00121,M,,
204,701,DECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,1.91 DECANOL-1,30,7.0 X10-2 D 9.98 X10-4 M,ED,TURBIDITY PLT LITE SCATR,KURI,62009,T M,L,0.07,D,0.000998,M,,
204,701,DECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,9.17 Q DECANOL-1,43.4,7.6 X10-2 D 1.08 X10-3 M,ED,TURBIDITY PLT LITE SCATR,KURI,62009,T M,L,0.076,D,0.00108,M,,
204,701,DECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,5.37 Q DECANOL-1,45,7.8 X10-2 D 1.11 X10-3 M,ED,TURBIDITY PLT LITE SCATR,KURI,62009,T M,L,0.078,D,0.00111,M,,
204,701,DECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,9.17 Q DECANOL-1,45,7.5 X10-2 D 1.06 X10-3 M,ED,TURBIDITY PLT LITE SCATR,KURI,62009,T M,L,0.075,D,0.00106,M,,
204,701,DECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,1.07 E 1 Q DECANOL-1,45,7.4 X10-2 D 1.05 X10-3 M,ED,TURBIDITY PLT LITE SCATR,KURI,62009,T M,L,0.074,D,0.00105,M,,
204,701,DECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,1.28 E 1 Q DECANOL-1,45,7.3 X10-2 D 1.04 X10-3 M,ED,TURBIDITY PLT LITE SCATR,KURI,62009,T M,L,0.073,D,0.00104,M,,
204,701,DECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,1.73 E 1 Q DECANOL-1,45,6.9 X10-2 D 9.84 X10-4 M,ED,TURBIDITY PLT LITE SCATR,KURI,62009,T M,L,0.069,D,0.000984,M,,
204,701,DECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,9.17 0 Q DECANOL-1,49.7,7.0 X10-2 D 9.98 X10-4 M,ED,TURBIDITY PLT LITE SCATR,KURI,62009,T M,L,0.07,D,0.000998,M,,
204,701,DECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,1.86 E 0 Q DECANOL-1,50,7.8 X10-2 D 1.11 X10-3 R,ED,TURBIDITY PLT LITE SCATR,KURI,62009,T M,L,0.078,D,0.00111,R,,
204,701,DECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,2.23 E 0 Q DECANOL-1,50,7.6 X10-2 D 1.08 X10 3 M,ED,TURBIDITY PLT LITE SCATR,KURI,62009,T M,L,0.076,D,1080,M,,
204,701,DECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,3.53 0 Q DECANOL-1,50,7.5 X10-2 D 1.06 X10-3 M,ED,TURBIDITY PLT LITE SCATR,KURI,62009,T M,L,0.075,D,0.00106,M,,
204,701,DECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,5.58 E 0 Q DECANOL-1,50,7.3 X10-2 D 1.04 X10-3 M,ED,TURBIDITY PLT LITE SCATR,KURI,62009,T M,L,0.073,D,0.00104,M,,
204,701,DECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,7.52 E 0 Q DECANOL-1,50,7.1 X10-2 D 1.01 X10-3 M,ED,TURBIDITY PLT LITE SCATR,KURI,62009,T M,L,0.071,D,0.00101,M,,
204,701,DECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,8.7 E 0 Q DECANOL-1,50,7.0 X10-2 D 9.98 X10-4 M,ED,TURBIDITY PLT LITE SCATR,KURI,62009,T M,L,0.07,D,0.000998,M,,
204,701,DECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,9.17 E 0 Q DECANOL-1,55.4,6.6 X10-2 D 9.41 X10-4 M,ED,TURBIDITY PLT LITE SCATR,KURI,62009,T M,L,0.066,D,0.000941,M,,
204,701,DECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,9.17 E 0 Q DECANOL-1,61.4,6.2 X10-2 D 8.84 X10-4 M,ED,TURBIDITY PLT LITE SCATR,KURI,62009,T M,L,0.062,D,0.000884,M,,
205,729.1,DODECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,,20,4. X10-2 D 5.4 X10-4 M,EE,TURBIDITY PLT LITE SCATR,KURI,62011,T M,L,0.04,D,0.00054,M,,
205,729.1,DODECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,,40,2. X10-2 D 2.7 X10-4 M,EE,TURBIDITY PLT LITE SCATR,KURI,62011,T M,L,0.02,D,0.00027,M,,
205,729.1,DODECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,,60,1.5 X10-2 D 2.05 X10-4 M,ED,TURBIDITY PLT LITE SCATR,KURI,62011,T M,L,0.015,D,0.000205,M,,
205,729.1,DODECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,,70,1.2 X10-2 D 1.64 X10-4 M,ED,TURBIDITY PLT LITE SCATR,KURI,62011,T M,L,0.012,D,0.000164,M,,
205,729.1,DODECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,,76,1.2 X10-2 D 1.64 X10-4 M,ED,TURBIDITY PLT LITE SCATR,KURI,62011,T M,L,0.012,D,0.000164,M,,
205,729.1,DODECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,5. E-1 M CA CL2,30,2.0 X10-2 D 2.74 X10-4 M,ED,TURBIDITY PLT LITE SCATR,KURI,62011,T M,L,0.02,D,0.000274,M,,
205,729.1,DODECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,1. E M CA CL2,30,1.0 X10-2 D 1.37 X10-4 M,ED,TURBIDITY PLT LITE SCATR,KURI,62011,T M,L,0.01,D,0.000137,M,,
205,729.1,DODECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,5. E-1 M CA CL2,50,1.5 X10-2 D 2.05 X10-4 M,ED,TURBIDITY PLT LITE SCATR,KURI,62011,T M,L,0.015,D,0.000205,M,,
205,729.1,DODECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,1. E 0 M CA CL2,50,8. X10-3 D 1.0 X10-4 M,ED,TURBIDITY PLT LITE SCATR,KURI,62011,T M,L,0.008,D,0.0001,M,,
205,729.1,DODECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,1. EOM CA CL2,60,5. X10-3 D 6.8 X10-5 M,EE,TURBIDITY PLT LITE SCATR,KURI,62011,T M,L,0.005,D,0.000068,M,,
205,729.1,DODECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,5. E-1 M CA CL2,64,1.0 X10-2 D 1.37 X10-4 M,ED,TURBIDITY PLT LITE SCATR,KURI,62011,T M,L,0.01,D,0.000137,M,,
205,729.1,DODECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,2. E-1 M NA CL,30,2.3 X10-2 D 3.15 X10-4 M,ED,TURBIDITY PLT LITE SCATR,KURI NAKA,62010,T M,L,0.023,D,0.000315,M,,
205,729.1,DODECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,2. E-1 M NA CL,30,2.3 X10-2 D 3.15 X10-4 M,ED,TURBIDITY PLT LITE SCATR,KURI,62011,T M,L,0.023,D,0.000315,M,,
205,729.1,DODECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,1. E 0 M NA CL,30,2.0 X10-2 D 2.74 X10-4 M,ED,TURBIDITY PLT LITE SCATR,KURI,62011,T M,L,0.02,D,0.000274,M,,
205,729.1,DODECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,2. E-1 M NA CL,50,1.6 X10-2 D 2.19 X10-4 M,ED,TURBIDITY PLT LITE SCATR,KURI NAKA,62010,T M,L,0.016,D,0.000219,M,,
205,729.1,DODECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,2. E-1 M NA CL,50,1.6 X10-2 D 2.19 X10-4 M,ED,TURBIDITY PLT LITE SCATR,KURI,62011,T M,L,0.016,D,0.000219,M,,
205,729.1,DODECYL /OXYETHYLENE/12 OXYMETHYL REDUCED POLYDISPERSION OF HEAD GROUPS,1. E 0 M NA CL,50,1.5 X10-2 D 2.05 X10-4 M,ED,TURBIDITY PLT LITE SCATR,KURI,62011,T M,L,0.015,D,0.000205,M,,
